triplet	gv	count	expected	ratio
יהו	21	728	96.6	7.535
הוה	16	677	85.8	7.886
אשר	501	659	27.4	24.072
אלה	36	506	58.4	8.662
ואת	407	497	53.0	9.375
אתה	406	473	48.7	9.713
אמר	241	472	25.4	18.594
יםו	56	390	36.6	10.663
האל	36	356	58.4	6.094
הוא	12	352	82.8	4.252
והא	12	352	82.8	4.252
בני	62	340	18.2	18.639
ראל	231	313	37.8	8.275
להי	45	313	68.2	4.591
שרא	501	297	27.4	10.849
ויא	17	270	93.2	2.898
דבר	206	269	7.5	35.930
ניי	70	265	35.2	7.537
םוי	56	263	36.6	7.191
משה	345	262	22.6	11.590
היה	20	261	88.8	2.941
רים	250	257	21.8	11.816
יאמ	51	252	44.1	5.711
ארץ	291	249	1.8	137.179
הוי	21	233	96.6	2.411
מים	90	216	17.3	12.471
אלי	41	216	65.7	3.285
עלה	105	209	24.3	8.609
פני	140	209	4.8	43.541
ישר	510	205	32.0	6.416
ווי	22	203	105.2	1.930
אתכ	421	200	15.0	13.363
ואל	37	198	63.6	3.113
יםא	51	192	32.4	5.927
ולא	37	189	63.6	2.972
ריה	215	187	57.5	3.254
איש	311	184	47.6	3.866
לאת	431	183	37.4	4.892
ליה	45	181	68.2	2.655
יהי	25	180	99.9	1.802
יוו	22	175	105.2	1.664
האת	406	175	48.7	3.594
אתא	402	173	47.0	3.684
האר	206	172	49.2	3.493
לפנ	160	169	3.3	51.580
לאי	41	168	65.7	2.555
כלה	55	164	18.6	8.808
ויש	316	163	53.7	3.034
ליו	46	163	74.2	2.196
םאת	441	160	18.4	8.680
אתו	407	158	53.0	2.980
שרי	510	158	32.0	4.945
עלי	110	158	27.3	5.783
יכם	70	153	10.3	14.818
יהם	55	151	33.6	4.495
והו	17	151	93.5	1.616
ייש	320	151	55.5	2.719
והי	21	149	96.6	1.542
ויה	21	148	96.6	1.532
אתי	411	148	54.8	2.700
אבי	13	146	50.0	2.921
נים	100	144	11.8	12.178
תכל	450	142	11.9	11.909
הלא	36	141	58.4	2.414
שים	350	140	18.7	7.495
ניו	66	139	34.0	4.087
היו	21	138	96.6	1.428
שני	360	137	17.4	7.887
וכל	56	134	20.3	6.611
מצר	330	134	2.8	48.625
שבע	372	132	10.3	12.865
עשה	375	131	17.6	7.456
םאש	341	131	16.0	8.185
נהו	61	130	30.2	4.302
ייה	25	130	99.9	1.301
אתם	441	129	18.4	6.998
ברי	212	129	33.6	3.845
למש	370	129	17.4	7.428
יום	56	128	36.6	3.500
םוא	47	128	31.3	4.085
אכל	51	128	18.0	7.129
לאמ	71	126	30.1	4.183
ימי	60	124	51.5	2.408
אלא	32	124	56.3	2.201
תהא	406	123	48.7	2.526
